run,NrBeeSurvivors,FighterCollectorRatio,NrMurderContracts,BeeCap100Ratio,BeePerformance,flower_count,bee_count,bee_sight,buzzer_count,max_capacity,hive_count,comm_radius,RatioBeeBuzzer
605,0,1,0,0.779220779,0,10,4,20,14,30,1,7,0.285714286
607,0,1,0,0.779220779,0,10,4,20,14,30,1,13,0.285714286
609,0,1,1,0.779220779,0,10,4,20,14,30,1,19,0.285714286
611,0,1,1,0.779220779,0,10,4,20,16,30,1,4,0.25
613,0,1,0,0.779220779,0,10,4,20,16,30,1,10,0.25
615,0,1,1,0.779220779,0,10,4,20,16,30,1,16,0.25
617,0,1,0,0.779220779,0,10,4,20,18,30,1,1,0.222222222
619,0,1,0,0.779220779,0,10,4,20,18,30,1,7,0.222222222
621,0,1,0,0.779220779,0,10,4,20,18,30,1,13,0.222222222
623,0,1,0,0.779220779,0,10,4,20,18,30,1,19,0.222222222
625,0,1,0,0.779220779,0,10,4,20,20,30,1,4,0.2
627,0,1,0,0.779220779,0,10,4,20,20,30,1,10,0.2
629,0,1,1,0.779220779,0,10,4,20,20,30,1,16,0.2
631,4,1,1,0.779220779,77.92207792,10,4,22,2,30,1,1,2
633,1,1,2,0.779220779,19.48051948,10,4,22,2,30,1,7,2
635,4,1,0,0.779220779,77.92207792,10,4,22,2,30,1,13,2
637,2,1,2,0.779220779,38.96103896,10,4,22,2,30,1,19,2
639,0,1,1,0.779220779,0,10,4,22,4,30,1,4,1
641,1,1,0,0.779220779,19.48051948,10,4,22,4,30,1,10,1
643,4,1,4,0.779220779,77.92207792,10,4,22,4,30,1,16,1
645,0,1,0,0.779220779,0,10,4,22,6,30,1,1,0.666666667
647,2,1,2,0.779220779,38.96103896,10,4,22,6,30,1,7,0.666666667
649,0,1,2,0.779220779,0,10,4,22,6,30,1,13,0.666666667
651,0,1,3,0.779220779,0,10,4,22,6,30,1,19,0.666666667
653,0,1,1,0.779220779,0,10,4,22,8,30,1,4,0.5
655,0,1,2,0.779220779,0,10,4,22,8,30,1,10,0.5
657,2,1,3,0.779220779,38.96103896,10,4,22,8,30,1,16,0.5
659,0,1,0,0.779220779,0,10,4,22,10,30,1,1,0.4
661,0,1,2,0.779220779,0,10,4,22,10,30,1,7,0.4
663,0,1,2,0.779220779,0,10,4,22,10,30,1,13,0.4
665,1,1,2,0.779220779,19.48051948,10,4,22,10,30,1,19,0.4
667,0,1,0,0.779220779,0,10,4,22,12,30,1,4,0.333333333
669,0,1,3,0.779220779,0,10,4,22,12,30,1,10,0.333333333
671,0,1,1,0.779220779,0,10,4,22,12,30,1,16,0.333333333
673,0,1,0,0.779220779,0,10,4,22,14,30,1,1,0.285714286
675,0,1,1,0.779220779,0,10,4,22,14,30,1,7,0.285714286
677,0,1,0,0.779220779,0,10,4,22,14,30,1,13,0.285714286
679,0,1,1,0.779220779,0,10,4,22,14,30,1,19,0.285714286
681,0,1,1,0.779220779,0,10,4,22,16,30,1,4,0.25
683,0,1,0,0.779220779,0,10,4,22,16,30,1,10,0.25
685,0,1,0,0.779220779,0,10,4,22,16,30,1,16,0.25
687,0,1,0,0.779220779,0,10,4,22,18,30,1,1,0.222222222
689,0,1,0,0.779220779,0,10,4,22,18,30,1,7,0.222222222
691,0,1,0,0.779220779,0,10,4,22,18,30,1,13,0.222222222
693,0,1,1,0.779220779,0,10,4,22,18,30,1,19,0.222222222
695,0,1,0,0.779220779,0,10,4,22,20,30,1,4,0.2
697,0,1,0,0.779220779,0,10,4,22,20,30,1,10,0.2
699,0,1,0,0.779220779,0,10,4,22,20,30,1,16,0.2
701,2,1,2,0.779220779,38.96103896,10,4,24,2,30,1,1,2
703,1,1,2,0.779220779,19.48051948,10,4,24,2,30,1,7,2
705,3,1,3,0.779220779,58.44155844,10,4,24,2,30,1,13,2
707,1,1,1,0.779220779,19.48051948,10,4,24,2,30,1,19,2
709,0,1,2,0.779220779,0,10,4,24,4,30,1,4,1
711,0,1,2,0.779220779,0,10,4,24,4,30,1,10,1
713,1,1,4,0.779220779,19.48051948,10,4,24,4,30,1,16,1
715,0,1,0,0.779220779,0,10,4,24,6,30,1,1,0.666666667
717,0,1,2,0.779220779,0,10,4,24,6,30,1,7,0.666666667
719,1,1,2,0.779220779,19.48051948,10,4,24,6,30,1,13,0.666666667
721,0,1,4,0.779220779,0,10,4,24,6,30,1,19,0.666666667
723,0,1,1,0.779220779,0,10,4,24,8,30,1,4,0.5
725,0,1,2,0.779220779,0,10,4,24,8,30,1,10,0.5
727,0,1,2,0.779220779,0,10,4,24,8,30,1,16,0.5
729,0,1,0,0.779220779,0,10,4,24,10,30,1,1,0.4
731,0,1,2,0.779220779,0,10,4,24,10,30,1,7,0.4
733,0,1,1,0.779220779,0,10,4,24,10,30,1,13,0.4
735,0,1,3,0.779220779,0,10,4,24,10,30,1,19,0.4
737,0,1,1,0.779220779,0,10,4,24,12,30,1,4,0.333333333
739,0,1,1,0.779220779,0,10,4,24,12,30,1,10,0.333333333
741,0,1,1,0.779220779,0,10,4,24,12,30,1,16,0.333333333
743,0,1,0,0.779220779,0,10,4,24,14,30,1,1,0.285714286
745,0,1,0,0.779220779,0,10,4,24,14,30,1,7,0.285714286
747,0,1,0,0.779220779,0,10,4,24,14,30,1,13,0.285714286
749,0,1,0,0.779220779,0,10,4,24,14,30,1,19,0.285714286
751,0,1,0,0.779220779,0,10,4,24,16,30,1,4,0.25
753,0,1,1,0.779220779,0,10,4,24,16,30,1,10,0.25
755,0,1,1,0.779220779,0,10,4,24,16,30,1,16,0.25
757,0,1,0,0.779220779,0,10,4,24,18,30,1,1,0.222222222
759,0,1,1,0.779220779,0,10,4,24,18,30,1,7,0.222222222
